Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данько Роман Соломонович,Чоловіча,1957-08-03,Директор,селище Любомль,"шосе Лесі Українки, буд. 9, Стрий, 61316",+380 99 910-36-12,ostap79@example.org
Жайворон Онисим Віталійович,Чоловіча,1995-09-02,Директор,хутір Баштанка,"набережна Пляжна, буд. 8 кв. 41, Глобине, 81212",+380 68 604-33-69,hordiionishchuk@example.org
Джус Мартин Гаврилович,Чоловіча,1957-08-25,Менеджер,селище Полонне,"набережна Магнітогорська, буд. 05 кв. 27, Брянка, 76025",039 416-20-40,vitaliibabiak@example.com
Засуха Семен Зиновійович,Чоловіча,2000-05-21,Директор,село Городенка,"провулок Депутатський, буд. 74, Острог, 57891",977 92 40,hlib21@example.net
Журавель Ірина Леопольдівна,Жіноча,1940-02-20,Директор,хутір Кіцмань,"вулиця Пісочна, буд. 3 кв. 596, Моршин, 14723",084 798-95-23,iashchukvasyl@example.net
Данчук Георгій Амвросійович,Чоловіча,1946-07-21,Програміст,село Новий Калинів,"набережна Маячний, буд. 8, Очаків, 60007",075 148-59-98,mykhailovashchenko-zakharchenko@example.net
Іваничук Юстина Опанасівна,Жіноча,1968-08-12,Програміст,хутір Хмільник,"узвіз Сирітський, буд. 5 кв. 148, Сватове, 19755",+380 26 225-97-67,boleslavvobla@example.org
Жарко Лариса Іванівна,Жіноча,1964-03-16,Програміст,хутір Баранівка,"проспект Сергія Ядова, буд. 251 кв. 17, Ковель, 91119",729 23 12,lbaidak@example.com
Дашкевич Борис Ааронович,Чоловіча,1995-09-03,Аналітик,селище Помічна,"набережна Олександра Кутузакія, буд. 898, Очаків, 62050",012 462 16 41,avreliivasylashko@example.org
Петлюра Аарон Опанасович,Чоловіча,1946-09-01,Програміст,селище Скалат,"парк Куяльницький міст, буд. 680, Тульчин, 58174",031 769-35-73,serhii84@example.org
Калениченко Юстим Охрімович,Чоловіча,1975-05-26,Програміст,місто Яготин,"провулок Південно-Санаторний, буд. 8 кв. 719, Чуднів, 87357",+380 34 837 23 00,andriimakarenko@example.net
Єщенко Емілія Леонідівна,Жіноча,1976-07-11,Менеджер,хутір Лозова ,"набережна Березовий, буд. 415 кв. 1, Слов'янськ, 14498",+380 (78) 953-44-97,abaranets@example.net
Шаповал Ярина Валеріївна,Жіноча,1960-02-21,Аналітик,хутір Вільногірськ,"провулок Теплична, буд. 4, Іловайськ, 75025",066 704-63-79,pylyp05@example.org
Чарниш Данна Альбертівна,Жіноча,1974-02-08,Директор,село Антрацит ,"узвіз Лиманчик 2-й Лінія 4-та, буд. 5 кв. 1, Бурштин , 37111",+380 04 369-76-68,ihnat33@example.com
Ткаченко Віра Омелянівна,Жіноча,2001-04-02,Програміст,село Полонне,"набережна Розумовський 1-й, буд. 8, Докучаєвськ, 57466",+380 61 393 07 26,wchaika@example.org
Бевз Кирило Мартинович,Чоловіча,2005-05-21,Програміст,хутір Носівка,"провулок Шишкіна, буд. 0, Ржищів, 73959",+380 91 726-43-90,iustymsmyk@example.org
Забашта Альберт Бориславович,Чоловіча,2007-04-02,Менеджер,місто Ужгород,"площа Стеценко, буд. 72 кв. 46, Южне, 95956",099 435 80 04,androshchukiosyp@example.net
Малик Ярослав Арсенович,Чоловіча,1942-07-17,Менеджер,селище Севастополь,"узвіз Байдарочний, буд. 34 кв. 9, Старий Крим, 03681",+380 (20) 666-70-76,prokopovychorest@example.com
Швачко Єва Єлисеївна,Жіноча,1975-03-17,Менеджер,місто Новгород-Сіверський,"сквер Балтський 8-й, буд. 43 кв. 44, Федорівка, 41231",041 129 93 80,leonid51@example.com
Петрик Володимира Зорянівна,Жіноча,1994-03-02,Програміст,село Костянтинівка,"шосе 8-ма Суворовська, буд. 0 кв. 4, Хрустальний, 47397",+380 96 983-92-16,cdotsenko@example.net
Тесленко Вʼячеслав Георгійович,Чоловіча,2003-04-26,Директор,селище Заставна,"провулок Мацієвської узвіз, буд. 0, Кремінна, 44043",+380 29 833-74-98,solomiiaieshchenko@example.org
Гаврилишина Єва Амвросійовна,Жіноча,1986-08-23,Менеджер,селище Барвінкове,"провулок Виноградний, буд. 89, Антрацит , 41969",+380 45 835-04-37,birvanets@example.com
Жайворон Ігор Прохорович,Чоловіча,1944-06-20,Менеджер,селище Борщів,"площа Чорноморський 13-й, буд. 40, Новгород-Сіверський, 51128",+380 (78) 505-41-96,zdurdynets@example.org
Карась Єва Адамівна,Жіноча,1947-04-05,Програміст,селище Дунаївці,"шосе Степана Разіна, буд. 8 кв. 2, Підгородне, 88808",084 763-50-67,maksymzharko@example.net
Артим Ліза Вадимівна,Жіноча,1993-04-14,Програміст,село Рожище,"набережна Дачний, буд. 21 кв. 4, Голубівка, 74828",029-56-07,nosachenkomarko@example.org
Іващенко Софія Михайлівна,Жіноча,1983-05-31,Програміст,хутір Вовчанськ,"узвіз Білоруська, буд. 0 кв. 1, Козятин, 34912",+380 73 552 01 06,leon48@example.net
Гриценко Розалія Данилівна,Жіноча,1986-06-28,Програміст,хутір Сновськ,"площа Лузанівський 1-й, буд. 03 кв. 1, Охтирка, 79361",+380 59 754-95-95,oprokopovych@example.com
Жайворон Нестор Адамович,Чоловіча,1973-07-26,Аналітик,місто Богуслав,"проспект Ланжеронівська, буд. 974 кв. 320, Новодружеськ, 83568",+380 (58) 190-61-82,qshamrai@example.com
Устенко Віолетта Климентівна,Жіноча,1948-02-09,Директор,селище Кадіївка,"сквер Яблочкіної, буд. 26 кв. 9, Іршава, 10008",+380 (83) 561-90-63,mykolaikaras@example.net
Охримович Ганна Єлисеївна,Жіноча,1992-09-29,Директор,місто Ковель,"сквер Дніпровська, буд. 3 кв. 655, Мирноград, 96630",+380 93 484-30-50,jbabych@example.net
Базилевський Артем Богданович,Чоловіча,1957-06-28,Програміст,селище Ромни,"проспект Старицького, буд. 231, Теребовля, 61575",+380 (38) 157-51-89,dzhusiaryna@example.com
Онищенко Пармен Зиновійович,Чоловіча,1964-03-14,Програміст,селище Мар'їнка,"вулиця Лінія 24-та, буд. 1, Шахтарськ, 18871",396-17-73,aronetsaaron@example.com
Баштан Левко Омелянович,Чоловіча,1964-11-18,Менеджер,село Славута,"вулиця Миколи Бажана, буд. 181, Новоселиця, 24465",+380 (61) 115-21-88,nadiia10@example.net
Яременко Богданна Болеславівна,Жіноча,1965-12-28,Директор,селище Сіверськ,"площа 11-та Лінія Марії Демченко, буд. 9 кв. 419, Бібрка, 21031",+380 54 862-26-19,taranborys@example.net
Іващенко Ілля Аврелійович,Чоловіча,2000-12-27,Директор,селище Моршин,"площа Семафорний, буд. 630 кв. 754, Кременчук, 96489",072 050 24 99,olenaiarosh@example.net
Тесля Варвара Арсенівна,Жіноча,1976-12-28,Програміст,хутір Сіверськ,"набережна Сурикова 1-й, буд. 9 кв. 842, Мерефа, 28337",+380 04 458 69 92,onyshchenkokyrylo@example.org
Штокало Варвара Макарівна,Жіноча,1950-12-17,Програміст,місто Лебедин,"проспект Нерубайська, буд. 715, Калинівка , 33635",266 11 36,shohol@example.org
Гайдабура Антон Олегович,Чоловіча,1945-09-08,Директор,хутір Вільнянськ,"вулиця Косвена, буд. 42, Угнів, 25946",+380 37 156-25-40,nesterenkobohdanna@example.net
Литвин Тарас Панасович,Чоловіча,1996-10-13,Програміст,хутір Корець,"узвіз Композитора Ніщинського, буд. 6, Мостиська, 44433",599-41-53,garkhypenko@example.com
Бгиденко Федір Віталійович,Чоловіча,1959-10-30,Аналітик,хутір Білогірськ,"узвіз Морехідна, буд. 168, Погребище, 10632",+380 (89) 791-78-19,ldemydenko@example.org
Єфименко Семен Юхимович,Чоловіча,1960-02-05,Програміст,хутір Іллінці,"парк Південна дорога, буд. 099 кв. 8, Волноваха, 52824",+380 (24) 944-94-58,bohodar67@example.net
Карпенко Степан Гаврилович,Чоловіча,1983-12-12,Аналітик,селище Першотравенськ,"проспект Депутатський, буд. 5, Стебник, 31121",+380 09 973-26-12,rpetryk@example.org
Худобʼяк Христина Аврелійовна,Жіноча,1995-12-10,Менеджер,село Мар'їнка,"проспект Патріотична, буд. 34 кв. 8, Чернівці, 90722",+380 22 882-39-07,oleszabara@example.org
Редько Марія Йосипівна,Жіноча,1959-09-24,Менеджер,хутір Чистякове,"парк Місячна, буд. 362 кв. 8, Токмак, 03979",009 565-92-83,zmasokha@example.net
Ґалаґан Хома Степанович,Чоловіча,1948-09-18,Аналітик,хутір Приморськ (Україна),"набережна Окружна, буд. 853, Чернігів, 01489",137-30-01,olhazhuravel@example.org
Шеремет Орися Кирилівна,Жіноча,1976-02-29,Менеджер,селище Корсунь-Шевченківський,"сквер Благовидової, буд. 216 кв. 85, Хоростків, 39128",375 64 09,zudovychenko@example.com
Пустовіт Кирило Мартинович,Чоловіча,1956-11-09,Аналітик,село Бахмач,"шосе Старопортофранківська, буд. 526 кв. 35, Балаклія, 09963",425-96-44,petroovsiienko@example.com
Дашенко Веніямин Борисович,Чоловіча,1958-06-14,Директор,місто Золоте,"шосе Красних Зорь, буд. 7, Алупка, 01612",+380 28 577-11-07,jnosachenko@example.com
Баранець Богуслав Аврелійович,Чоловіча,1956-09-13,Директор,хутір Тиврів,"вулиця Тіниста, буд. 7, Вишневе , 42364",+380 26 673-64-48,hryhorii43@example.net
Яценюк Лукʼян Валентинович,Чоловіча,1959-05-06,Програміст,хутір Іршава,"парк Амбулаторний, буд. 042, Жовква, 16771",946-14-17,ifranko@example.org
Гук Пармен Устимович,Чоловіча,2003-12-24,Програміст,село Апостолове,"узвіз Садова 6-та, буд. 5 кв. 9, Олешки, 40950",059 245-29-90,vadym36@example.com
Михалюк Данило Амвросійович,Чоловіча,1955-11-22,Менеджер,хутір Алмазна,"провулок Василя Кандинського 4-й, буд. 138 кв. 093, Болехів, 93556",+380 83 149 31 83,onishchukanton@example.com
Твердохліб Святослав Охрімович,Чоловіча,1986-04-11,Директор,село Добромиль,"провулок Митна, буд. 2 кв. 771, Ялта, 57432",122 42 09,bohdandanchenko@example.com
Прокопович Альберт Бориславович,Чоловіча,1983-05-25,Директор,село Бобринець,"вулиця Касима Юрія, буд. 547 кв. 33, Рава-Руська, 40807",+380 98 603 58 66,kabanenkooryna@example.org
Рубець Віктор Васильович,Чоловіча,2001-05-29,Аналітик,хутір Свалява,"площа Теплична, буд. 831 кв. 2, Ніжин, 28950",+380 (33) 698-47-40,leopoldsaienko@example.com
Гриценко Ярема Демидович,Чоловіча,1962-12-26,Менеджер,хутір Ясинувата,"проспект Лермонтовський 2-й, буд. 00, Селидове, 47639",+380 08 381-53-50,liza13@example.net
Лемешко Ірина Опанасівна,Жіноча,1969-10-03,Директор,хутір Буча,"проспект Лесі Українки, буд. 114, Городня, 97854",086 889 80 84,parmenudovenko@example.com
Гайда Венедикт Ігорович,Чоловіча,1958-03-18,Аналітик,хутір Добромиль,"набережна Бернардацці, буд. 232, Васильків, 82337",014 62 08,wchuiko@example.net
Шинкаренко Марта Стефанівна,Жіноча,1993-10-12,Аналітик,хутір Почаїв,"вулиця Високий, буд. 35 кв. 4, Моспине, 79852",093 986-65-37,iryna20@example.org
Слюсар Остап Леонтійович,Чоловіча,1988-09-27,Аналітик,місто Красноград,"проспект Павла Кравцова, буд. 553, Кам'янка (Черкаська область), 12640",+380 (71) 904-02-85,bandurakhrystyna@example.org
Жадан Опанас Давидович,Чоловіча,1992-04-23,Директор,село Бахмут,"узвіз 6-та Лінія Марії Демченко, буд. 74, Славутич, 65709",+380 10 636-72-95,andriichuklevko@example.net
Дурдинець Вікторія Глібівна,Жіноча,1953-04-16,Аналітик,село Очаків,"площа Миколаївський 1-й, буд. 623, Ладижин, 07846",902-82-13,martynhaidai@example.com
Аверченко Мирон Устимович,Чоловіча,1954-08-16,Аналітик,хутір Кремінна,"набережна Лиманчик 2-й Лінія 8-ма, буд. 96, Суми, 72549",+380 94 156 59 36,odarka18@example.org
Павлик Віра Марківна,Жіноча,2002-07-07,Директор,місто Горохів,"сквер Лінія 31-ша, буд. 044 кв. 36, Южне, 46609",+380 67 079 77 42,lshylo@example.net
Зарудна Мілена Прохорівна,Жіноча,1968-11-08,Аналітик,селище Шостка,"парк Західний 3-й, буд. 112 кв. 662, Куп'янськ, 55297",+380 55 625 01 64,opanasteslenko@example.net
Матяш Геннадій Іванович,Чоловіча,1962-01-18,Менеджер,хутір Рубіжне,"набережна Лінія 27-ма, буд. 3, Надвірна, 51798",+380 12 378-04-93,mariia87@example.com
Вдовиченко Данило Юхимович,Чоловіча,1981-11-23,Директор,село Армянськ,"шосе Василя Кандинського 3-й, буд. 30 кв. 181, Південне , 47786",+380 64 272-29-74,pavlenkoviktor@example.net
Вертипорох Альбіна Теодорівна,Жіноча,1995-01-18,Аналітик,село Андрушівка,"парк Мусіна, буд. 6, Красилів, 08879",+380 27 390-21-98,aleksiuktetiana@example.net
Рева Ярослава Юхимівна,Жіноча,1995-04-08,Програміст,село Кілія,"узвіз Радісна, буд. 68 кв. 183, Гнівань, 10239",+380 (52) 670-68-63,masliakmyron@example.com
Гайденко Марко Євгенійович,Чоловіча,1973-04-30,Програміст,село Городок,"провулок Скворцова, буд. 24 кв. 13, Ковель, 57821",048 121 09 80,andriikomar@example.org
Гупало Вадим Васильович,Чоловіча,1953-06-12,Директор,село Куп'янськ,"сквер Платанова, буд. 26 кв. 3, Судова Вишня, 88674",075 081 24 76,leopold23@example.net
Вернигора Соломія Опанасівна,Жіноча,1986-03-27,Директор,місто Севастополь,"набережна 15-та ст. Великого Фонтану пляж, буд. 7 кв. 35, Полтава, 24828",+380 (29) 155-50-05,wteslia@example.org
Скопенко Георгій Єлисейович,Чоловіча,1970-06-30,Директор,селище Сіверськ,"вулиця Лінія 38-ма, буд. 2 кв. 847, Дубно, 02629",678-22-31,iakiv50@example.com
Вівчаренко Марʼяна Павлівна,Жіноча,1976-12-19,Аналітик,хутір Ічня,"площа Заводська 4-та, буд. 9, Лубни, 90981",+380 08 051 97 37,stuspanas@example.net
Онуфрієнко Аврелій Романович,Чоловіча,1947-02-14,Аналітик,місто Підгородне,"проспект Каспійський, буд. 037, Гайсин, 42934",+380 87 649 43 23,dzhustaras@example.net
Уманець Алла Данилівна,Жіноча,1962-01-24,Директор,хутір Слов'янськ,"площа Тополина, буд. 9 кв. 3, Українськ, 97805",+380 69 095-05-34,dutkataras@example.org
Петренко Григорій Зиновійович,Чоловіча,2001-01-12,Аналітик,село Берестечко,"шосе Канатна, буд. 9, Ямпіль, 79932",041 137-93-34,aonishchuk@example.com
Акименко Франц Ярославович,Чоловіча,1982-02-20,Менеджер,хутір Сватове,"узвіз Деревообробний 3-й, буд. 930 кв. 3, Вишневе , 66255",+380 (99) 668-88-61,varfolomiiiushchenko@example.com
Баштан Арсен Давидович,Чоловіча,1965-07-20,Аналітик,селище Алушта,"вулиця Тульська, буд. 443 кв. 7, Міусинськ, 97998",+380 (40) 168-40-81,avrelii43@example.net
Притула Мартин Валерійович,Чоловіча,2005-03-17,Програміст,місто Копичинці,"узвіз Угорська, буд. 778 кв. 95, Копичинці, 01844",757-54-87,akyrylenko@example.net
Носенко Сніжана Юхимівна,Жіноча,1950-10-14,Директор,місто Батурин,"провулок Тиха, буд. 452 кв. 88, Сторожинець, 13435",+380 23 020-15-04,zynovii25@example.net
Андрощук Ілля Антонович,Чоловіча,1962-07-02,Аналітик,місто Горохів,"парк Лузанівка, буд. 1, Сквира, 01994",057 389-56-36,ruslan56@example.org
Вакуленко Владислав Едуардович,Чоловіча,1997-01-14,Програміст,місто Світлодарськ,"набережна Довга, буд. 87 кв. 106, Авдіївка, 10831",012 394-73-09,khrystyna83@example.org
Оберемко Богуслава Германівна,Жіноча,1953-12-15,Менеджер,селище Надвірна,"парк Приморський, буд. 168, Білицьке, 54010",+380 (21) 683-41-18,iaremabandurka@example.net
Данькевич Варфоломій Ааронович,Чоловіча,1948-04-28,Аналітик,селище Оріхів,"провулок Єліна, буд. 88, Довжанськ, 96439",057 362 18 74,wzaika@example.net
Захаренко Світлана Амвросійовна,Жіноча,1983-01-13,Програміст,село Узин,"шосе Кісельова Ігоря, буд. 494 кв. 814, Бровари, 84148",+380 (31) 963-70-23,leonbabiichuk@example.net
Лупій Орхип Орхипович,Чоловіча,1954-02-21,Директор,село Кам'янець-Подільський,"набережна Вітчизняна, буд. 346 кв. 4, Красногорівка, 92413",+380 79 117-32-76,artemzinchuk@example.net
Рудько Пріска Дмитріївна,Жіноча,1963-07-11,Програміст,хутір Шепетівка,"проспект Кутузова, буд. 32 кв. 8, Конотоп, 82332",+380 87 123-28-71,komarmykyta@example.org
Лагода Аарон Леопольдович,Чоловіча,1946-03-23,Менеджер,селище Українськ,"вулиця Марсельська, буд. 03 кв. 121, Кременець, 29991",111-92-62,dantverdokhlib@example.net
Бабариченко Марко Алевтинович,Чоловіча,1951-01-06,Програміст,селище Донецьк,"шосе Льва Толстого, буд. 248, Євпаторія, 08834",509 26 62,symonpiatachenko@example.net
Бабʼяк Трохим Леонтійович,Чоловіча,1947-02-17,Програміст,місто Новий Калинів,"площа Ангарська, буд. 16, Харків, 73625",+380 47 674 06 55,ada93@example.com
Гавришкевич Давид Миколайович,Чоловіча,1969-07-26,Аналітик,хутір Тростянець,"сквер Проектна 2-га, буд. 51, Очаків, 28191",+380 (80) 079-99-23,lahodalevko@example.com
Ісаєнко Гліб Костянтинович,Чоловіча,1945-05-15,Програміст,місто Вижниця,"площа 19-та Лінія, буд. 298, Приморськ (Україна), 29361",022 137 68 12,vitalii15@example.org
Якименко Людмила Симонівна,Жіноча,2005-01-17,Директор,село Лозова ,"шосе Водопровідний 2-й, буд. 01 кв. 88, Балта, 18062",077-43-87,tereshchenkoalevtyn@example.org
Рубан Варвара Гаврилівна,Жіноча,1971-10-08,Аналітик,селище Сніжне,"парк Михайлівська, буд. 25 кв. 6, Кобеляки, 10113",+380 98 717 06 17,oshcherbak@example.org
Стус Ірена Прохорівна,Жіноча,1985-02-06,Директор,село Федорівка,"сквер Волзький, буд. 5 кв. 153, Красилів, 38865",+380 16 300 60 53,huzerika@example.org
Рева Ганна Геннадіївна,Жіноча,1990-02-26,Менеджер,селище Хмельницький,"узвіз Черепанових, буд. 83 кв. 42, Очаків, 14869",089 707-61-52,fvalenko@example.org
Єрошенко Опанас Соломонович,Чоловіча,1944-04-11,Директор,село Лутугине,"провулок Метрополітенівський, буд. 4, Яготин, 99432",068 729 34 70,valentyna83@example.org
Михайлюк Орхип Прохорович,Чоловіча,1966-11-25,Програміст,село Хуст,"сквер Палубний, буд. 38 кв. 9, Тульчин, 82452",+380 24 685-24-92,atamanchukomelian@example.com
Базилевський Гаврило Леонідович,Чоловіча,2001-12-08,Програміст,селище Радомишль,"сквер Стельмаха, буд. 79, Гнівань, 26725",+380 74 806 62 30,danyloiushchenko@example.net
Жученко Євген Назарович,Чоловіча,1960-01-29,Програміст,місто Радивилів,"сквер Першотравневий 2-й, буд. 95 кв. 863, Керч, 73000",057 364 76 21,hannadotsenko@example.org
Сімашкевич Ярослав Болеславович,Чоловіча,2001-02-27,Програміст,село Чорноморськ,"проспект Павла Шклярука, буд. 85, Фастів, 31099",283-26-01,kanivetskyrylo@example.com
Величко Петро Демʼянович,Чоловіча,1985-08-21,Програміст,хутір Бучач,"провулок Карантинний узвіз, буд. 967 кв. 24, Сімферополь, 71541",008 565-09-25,ruslan78@example.org
Щорс Єва Йосипівна,Жіноча,2008-05-04,Директор,місто Красноград,"проспект Кривобалківська, буд. 5 кв. 4, Золотоноша, 99978",660 66 65,iosypakulenko@example.org
Ірванець Емілія Макарівна,Жіноча,1983-01-05,Менеджер,місто Шумськ,"вулиця Качалова, буд. 531 кв. 8, Богуслав, 80663",+380 80 704 97 84,odarka00@example.com
Баранник Феофан Ігорович,Чоловіча,1944-03-22,Програміст,селище Лиман ,"проспект Відважних, буд. 33 кв. 530, Баранівка, 22626",+380 14 111-82-12,hupalodanna@example.org
Іващенко Едуард Охрімович,Чоловіча,1996-10-18,Програміст,хутір Богодухів,"набережна Грузинська, буд. 4, Камінь-Каширський, 91813",993-10-20,andriishynielysaveta@example.com
Джус Лукʼян Орестович,Чоловіча,1946-06-05,Програміст,хутір Городенка,"сквер Урожайна, буд. 20, Ічня, 58894",088 925 50 06,arkadiivashchenko-zakharchenko@example.com
Христич Гаврило Йосипович,Чоловіча,1997-09-04,Менеджер,хутір Хуст,"вулиця 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 1, Миколаїв, 65482",+380 35 730 48 68,wmazur@example.org
Шахрай Вʼячеслав Русланович,Чоловіча,1972-01-26,Програміст,місто Дніпро ,"шосе Баркасний, буд. 755, Покровськ, 34067",501-97-57,datsiukviktoriia@example.net
Дерегус Марина Миронівна,Жіноча,1995-09-01,Директор,селище Миргород,"набережна Студентський 2-й, буд. 649 кв. 90, Мар'їнка, 64017",+380 31 208 44 54,priskachumak@example.net
Бевзенко Едуард Глібович,Чоловіча,1962-12-23,Директор,хутір Світловодськ,"парк Манежний, буд. 89 кв. 70, Сколе, 97296",+380 09 435-34-25,arsen78@example.org
Гупало Оксенія Несторівна,Жіноча,1994-04-10,Менеджер,хутір Вишневе ,"площа Травневий 3-й, буд. 96 кв. 1, Вознесенівка, 56722",+380 82 982 89 09,ndanylenko@example.org
Овсієнко Святослава Геннадіївна,Жіноча,1963-03-20,Аналітик,хутір Хотин,"узвіз Гонтаренко, буд. 610, Підгайці, 23385",001 141 43 61,vpavlenko@example.net
Шеремета Мирон Семенович,Чоловіча,1939-03-23,Аналітик,селище Вовчанськ,"вулиця Москеті, буд. 1 кв. 04, Суми, 58257",205 63 96,khudobiakvladyslav@example.org
Коваленко Іван Олексович,Чоловіча,1992-01-17,Програміст,хутір Глухів,"провулок Товарний, буд. 5 кв. 18, Рахів, 72321",073-73-36,khrystyna12@example.net
Байдак Зиновій Болеславович,Чоловіча,1955-11-26,Менеджер,хутір Покров,"площа Шкільний, буд. 05, Кодима, 50859",351-68-37,sviatoslavaivanchenko@example.com
Удовенко Леонтій Васильович,Чоловіча,2007-09-22,Менеджер,селище Вознесенськ,"сквер Романтичний, буд. 755 кв. 73, Судова Вишня, 88157",+380 86 428-65-01,khomykleonid@example.org
Кащенко Симон Васильович,Чоловіча,2002-07-09,Директор,село Дубляни,"вулиця Павла Кравцова, буд. 2, Гребінка, 52923",918 98 77,ylevchenko@example.org
Симоненко Георгій Андрійович,Чоловіча,2007-06-11,Директор,селище Біла Церква,"провулок Дев’ята, буд. 4, Горішні Плавні, 67307",+380 05 752 52 25,kostiantynbaida@example.net
Чередник Станіслав Валентинович,Чоловіча,1943-04-26,Аналітик,село Тячів,"сквер Москвіна, буд. 2, Алмазна, 52665",+380 76 491 74 96,viktoriiakovalenko@example.org
Арсенич Орина Леонтіївна,Жіноча,1953-01-15,Менеджер,місто Яворів,"сквер Новаторів, буд. 9, Білозерське, 05321",+380 03 870-83-56,dashkevychiustym@example.net
Батюк Анжела Леонідівна,Жіноча,1986-10-08,Менеджер,селище Перевальськ,"узвіз Каспійський, буд. 4 кв. 21, Узин, 01618",280-34-33,petro81@example.org
Дзюба Феофан Олексович,Чоловіча,1976-02-12,Директор,місто Вараш,"парк Квітнева, буд. 557 кв. 18, Коломия, 95304",+380 51 996 21 88,leonidilienko@example.net
Мірошниченко Тетяна Михайлівна,Жіноча,1940-07-30,Програміст,село Феодосія,"шосе Лінія 31-ша, буд. 42 кв. 327, Красилів, 59693",083 998 50 05,datsiukmykhailo@example.com
Акуленко Мілена Едуардівна,Жіноча,1940-10-06,Менеджер,місто Боярка,"парк Святослава Ріхтера, буд. 14 кв. 237, Судова Вишня, 18356",946 55 85,czinchenko@example.com
Абрамчук Марія Спасівна,Жіноча,1960-08-24,Аналітик,село Бар,"шосе Середня, буд. 92 кв. 505, Хотин, 24057",026 516 23 00,kkhudiak@example.net
Шеремет Амвросій Вадимович,Чоловіча,1996-01-01,Програміст,хутір Новий Розділ,"провулок Луценка Івана, буд. 980, Вільнянськ, 51628",+380 (14) 354-09-51,iurchukklavdiia@example.net
Артюшенко Михайло Устимович,Чоловіча,1952-03-09,Директор,село Чоп,"площа Павла Кравцова, буд. 3, Донецьк, 77670",+380 03 876-23-10,ishchenkotaras@example.com
Колісниченко Азар Демидович,Чоловіча,1973-05-07,Програміст,село Жидачів,"шосе Офіцерський 1-й, буд. 5, Запоріжжя, 96110",+380 78 586-12-61,clahoda@example.org
Сіробаба Станіслав Артемович,Чоловіча,1970-12-22,Аналітик,село Південне ,"площа Бехтерєва, буд. 268, Запоріжжя, 58398",+380 74 679-62-17,fesenkokostiantyn@example.net
Стець Климент Юстимович,Чоловіча,1972-07-16,Директор,село Покров,"провулок Ніжинська, буд. 24, Львів, 17779",063-88-46,cgalagan@example.org
Жадан Михайлина Ярославівна,Жіноча,1965-08-16,Директор,село Гола Пристань,"парк Кредитний, буд. 8 кв. 83, Ланівці, 76765",838-90-52,erika83@example.net
Примаченко Ольга Альбертівна,Жіноча,1953-12-19,Менеджер,селище Лубни,"сквер Єліна, буд. 04, Балаклія, 15707",029-59-17,cvivcharenko@example.com
Бабій Ростислав Леонтійович,Чоловіча,1953-07-20,Програміст,село Білгород-Дністровський,"вулиця Світанку, буд. 90, Ясинувата, 75886",+380 14 465-02-64,okseniia78@example.net
Штепа Василина Амвросійовна,Жіноча,1976-07-25,Менеджер,місто Монастирище,"сквер Єлисаветградський, буд. 96, Болград, 50082",302 57 18,mneporozhnii@example.com
Чаленко Нестор Тарасович,Чоловіча,1990-07-17,Менеджер,селище Барвінкове,"проспект Басейна, буд. 1, Шостка, 15090",+380 (04) 801-31-84,zhurbavitalii@example.net
Шведченко Емілія Ігнатівна,Жіноча,1984-12-15,Програміст,місто Малин,"проспект Машинобудівний, буд. 890 кв. 7, Чуднів, 24906",+380 (71) 602-98-43,moskalles@example.com
Козак Амвросій Микитович,Чоловіча,1940-11-11,Програміст,хутір Ходорів,"парк Собінова, буд. 156, Золочів, 14117",763 76 91,glupii@example.org
Нестеренко Лілія Ігорівна,Жіноча,1975-06-14,Програміст,хутір Кам'янка-Бузька,"площа Тюльпанний, буд. 87, Копичинці, 85834",876-76-13,ousyk@example.net
Дутка Юстина Зорянівна,Жіноча,2008-08-20,Менеджер,село Новий Калинів,"сквер Моторний 1-й, буд. 55 кв. 79, Косів, 99390",+380 65 626-15-10,oles58@example.org
Корсун Гаврило Августинович,Чоловіча,1950-09-05,Програміст,село Макіївка,"вулиця Чумацька, буд. 82, Перечин, 26626",090 613-03-43,karmaliukvitalii@example.net
Міщенко Ростислав Мартинович,Чоловіча,1974-11-21,Аналітик,хутір Бережани,"провулок Лейтенанта Шмідта, буд. 11 кв. 5, Бахмут, 63981",+380 26 659-87-38,sofiiavlokh@example.com
Гайденко Демʼян Амвросійович,Чоловіча,1967-05-14,Менеджер,місто Рожище,"парк Естафетна, буд. 8 кв. 61, Сновськ, 41136",+380 93 295 19 58,iarema29@example.net
Кармалюк Ірина Остапівна,Жіноча,1992-10-01,Менеджер,селище Хрустальний,"парк Магнітогорський, буд. 280 кв. 18, Надвірна, 92164",867 74 04,otsymbaliuk@example.net
Чаленко Юхим Аврелійович,Чоловіча,1999-06-16,Директор,село Васильків,"шосе Друга, буд. 522, Перещепине, 06395",094 355 85 58,simashkevychfrants@example.com
Їжак Ірина Йосипівна,Жіноча,1956-08-13,Програміст,селище Червоносів,"проспект Омська, буд. 619 кв. 388, Роздільна, 99483",635-97-69,zaporozhetsmykyta@example.net
Левченко Омелян Арсенович,Чоловіча,1969-03-27,Директор,селище Снятин,"шосе Моторний 3-й, буд. 096 кв. 05, Дубровиця, 99414",+380 06 199-80-80,zlatoslava69@example.net
